store_id,uptime_last_hour,uptime_last_day,uptime_last_week,downtime_last_hour,downtime_last_day,downtime_last_week
006c9910-9126-4bb9-b5d8-cd37bc14790b,0,0.0,0.0,60,24.0,168.0
009c0a31-4856-4f4b-a2a1-a53145db6f45,5,0.08,0.08,55,13.42,94.42
01c792cd-2acb-4dd2-89b3-9f58ee057494,7,0.12,0.12,53,13.38,94.38
01dd1a67-9582-4c07-9c47-22990be20152,17,0.28,0.28,43,10.22,75.22
022ba325-8587-4897-98ff-7ec3ab2882c1,8,0.13,0.13,52,11.71,82.71
0233b870-8996-4137-a1c8-3e4ea98180c9,20,0.34,0.34,40,10.33,74.33
031543eb-84ff-4d73-a811-b3bb44ac0c79,14,0.23,0.23,46,10.77,76.77
03243548-0353-4656-8079-7b2f89245a58,18,0.3,0.3,42,12.2,87.2
03904864-f270-42c1-b993-9710c911509a,17,0.28,0.28,43,11.05,79.05
03edf5ed-e502-47f3-8a4a-2fe6cd05a712,12,0.21,0.21,48,13.78,96.71
04462056-c979-46a1-bd3b-f1ed1dad404b,60,12.5,89.5,0,0.0,0.0
0784b45b-19ed-4e45-b825-dde04b19783b,0,0.0,0.0,60,11.0,67.97
07a320ae-e5ee-4a3c-b78e-8e4529026189,0,0.0,0.0,60,10.0,68.5
07e22d07-7019-4fa6-bdcf-dc328c2ece17,9,0.14,0.14,51,13.36,92.84
089b570b-b6fc-46f3-aedf-b8e4be1c1347,0,0.0,0.0,60,13.0,91.0
08a80ec8-2f56-4462-aa33-4792249cc456,0,0.0,0.0,60,12.0,87.0
0a1d42a2-f6ad-4c6b-9617-375126714502,10,0.17,0.17,50,12.33,87.33
0ab1cbc7-5cdd-439b-af54-557a14b55b56,0,0.0,0.0,60,9.0,75.0
0ad06e9f-7eb8-4b79-94af-25c48e3b1b78,9,0.15,0.15,51,16.85,118.85
0ae10fd2-556d-4db1-abc4-41acd095e9bc,19,0.32,0.32,41,9.43,70.18
0b737678-e76a-405d-a13a-3715b3240199,0,0.0,0.0,60,14.0,98.0
0ccc4add-57b0-4d00-aaca-58c76136be59,8,0.13,0.13,52,11.37,80.37
0d257b29-f267-4449-aa8e-c0e783eb841b,0,0.0,0.0,60,11.5,80.5
0e71b501-c981-4268-8fbd-63cdc5d285e1,0,0.0,0.0,60,12.5,82.48
0ea9d2fc-17cf-4d77-9147-b4775864b5e1,0,0.0,0.0,60,24.0,168.0
0fb49f61-2dd2-4ba8-87b5-4c9f2c0e748e,60,9.0,56.77,0,0.0,8.23
100142fe-7fb2-47d7-ab03-a9cd6eee75a0,6,0.11,0.11,54,13.39,94.39
1099985e-d98b-45d4-abc3-50e333ae5b1d,10,0.16,0.16,50,11.34,82.35
10d59c9c-e83a-4ec0-b17f-d86544470cf6,18,0.3,0.3,42,12.86,91.86
11ddfc4e-f85f-4667-9bd0-ab3a73b88bbe,11,0.18,0.18,49,12.32,87.32
12381e87-a967-44d9-ab36-2929a53ad1ba,19,0.32,0.32,41,10.18,73.18
1274a4f9-fd6f-4eaa-99b9-a1e67a01e19b,0,0.0,0.0,60,9.0,62.0
12cd50cb-4979-4fbf-9cfe-81ec55806ce8,2,0.03,0.03,58,10.47,75.47
133ac8d8-8516-4407-9fe3-1385959c0d0b,13,0.22,0.22,47,10.78,76.78
13b3c002-1845-4a08-b9f0-0889e5b01df9,4,0.06,0.06,56,23.92,150.85
140bb3cb-ae21-459a-a66d-46f5ba6dd958,0,0.0,0.0,60,16.5,91.0
1427aed8-3f67-4323-a874-2547ae18670a,3,0.06,0.06,57,13.11,92.11
148391b1-76a0-4b50-9c6c-cfdbf5a2a332,6,0.09,0.09,54,12.41,89.41
153c0236-08ac-4f69-9543-720125d15b5f,5,0.08,0.08,55,13.08,92.08
160c8d91-9eca-4487-ac3d-cbaf13a8a247,0,0.0,0.0,60,24.0,168.0
167d0552-ce21-4e65-a135-c43558e07d54,0,0.0,0.0,60,12.5,82.48
18d8cfca-165d-4f17-aa62-38114cf20c93,0,0.0,0.0,60,11.5,80.5
1bc5b267-137e-4983-87dc-3bba68f491b3,12,0.2,0.2,48,10.8,76.8
1c5fdd59-cb6e-4763-a502-9a8baefb426e,0,0.0,0.0,60,13.0,90.98
1d47bb18-7da5-4d68-a1f0-7cff55bfcc99,5,0.09,0.09,55,10.91,76.91
1d96958a-5d5c-486b-9ebc-1930ab2a29ad,4,0.06,0.06,56,10.19,73.69
1e62e0bc-0737-4eaa-bf07-a58ac2f1ec36,0,0.0,0.0,55,8.0,56.0
1e8f53db-6c6d-471c-91bf-2a5cf6f943c7,0,0.0,0.0,60,11.0,77.0
20738117-b5e5-484f-aec5-5ab563a50c1c,4,0.07,0.07,56,10.59,74.59
210b7bc7-bed6-426c-a422-f2d6046f49ec,10,0.17,0.17,50,16.83,118.83
21db19ac-8cdc-4504-845c-65e4e0a23615,13,0.22,0.22,47,10.78,76.78
2228b70e-4c0e-4e2a-8a42-3bc96a7fdd08,19,0.32,0.32,41,13.68,97.68
2312fd5a-a221-4eb2-8144-80597f8a1cdb,14,0.23,0.23,46,13.75,96.68
23b352bf-6016-4b34-96cd-1d155ce1ccac,13,0.22,0.22,47,11.62,82.62
25290595-d78a-41f6-821f-5362637d2542,60,13.98,97.92,0,0.0,0.0
25d67545-7a1c-4a32-9bc2-0f6bec0551de,13,0.22,0.22,47,10.78,76.78
2791fa63-22c5-4ec2-83fd-1aa0d6b80c3d,9,0.15,0.15,51,16.85,117.85
27e97727-3719-41fd-93e3-361ca41e1a71,15,0.25,0.25,45,10.42,74.42
2a07b2ca-79ba-4efe-b5b3-13f0942857c2,0,0.0,0.0,0,0.0,1.0
2a77eaed-c15e-4886-b8d3-69c9aa5fc9f5,16,0.26,0.26,44,13.74,97.73
